gene_stable_id	transcript_stable_id	protein_stable_id	xref	xref_pos	db_name	transcript_stable_version	xref_version
ENSG00000099308	ENST00000262811	ENSP00000262811	O60307	367-640	Uniprot/SWISSPROT	ENST00000262811.10	O60307.183
ENSG00000099308	ENST00000687212	ENSP00000509890	A0A8I5KST9	396-669	Uniprot/SPTREMBL	ENST00000687212.1	A0A8I5KST9.2
ENSG00000099875	ENST00000250896	ENSP00000250896	Q9HBH9-1	84-388	Uniprot/SWISSPROT	ENST00000250896.9	Q9HBH9.197
ENSG00000099875	ENST00000588014	ENSP00000465079	K7EJ98	1-159	Uniprot/SPTREMBL	ENST00000588014.5	K7EJ98.46
ENSG00000099875	ENST00000591142	ENSP00000465645	Q9NV89	1-112	Uniprot/SPTREMBL	ENST00000591142.5	Q9NV89.153
ENSG00000099875	ENST00000591588	ENSP00000464828	K7EIN7	1-112	Uniprot/SPTREMBL	ENST00000591588.1	K7EIN7.60
ENSG00000100030	ENST00000215832	ENSP00000215832	P28482-1	25-313	Uniprot/SWISSPROT	ENST00000215832.11	P28482.242
ENSG00000100030	ENST00000398822	ENSP00000381803	P28482-1	25-313	Uniprot/SWISSPROT	ENST00000398822.7	P28482.242
ENSG00000100077	ENST00000324198	ENSP00000317578	P35626	191-453	Uniprot/SWISSPROT	ENST00000324198.11	P35626.204
ENSG00000100490	ENST00000216378	ENSP00000216378	A0A5H1ZRP5	5-276	Uniprot/SPTREMBL	ENST00000216378.2	A0A5H1ZRP5.10
ENSG00000100490	ENST00000395834	ENSP00000379176	Q00532	5-288	Uniprot/SWISSPROT	ENST00000395834.6	Q00532.194
ENSG00000100490	ENST00000534267	ENSP00000435044	H0YE65	1-102	Uniprot/SPTREMBL	ENST00000534267.5	H0YE65.50
ENSG00000100749	ENST00000216639	ENSP00000216639	Q99986	37-317	Uniprot/SWISSPROT	ENST00000216639.8	Q99986.202
ENSG00000100749	ENST00000553683	ENSP00000451412	H0YJF7	37-317	Uniprot/SPTREMBL	ENST00000553683.2	H0YJF7.53
ENSG00000100749	ENST00000557222	ENSP00000450820	H0YJ50	1-189	Uniprot/SPTREMBL	ENST00000557222.6	H0YJ50.66
ENSG00000100749	ENST00000557352	ENSP00000451682	H0YJJ9	37-317	Uniprot/SPTREMBL	ENST00000557352.2	H0YJJ9.68
ENSG00000100749	ENST00000679365	ENSP00000505882	A0A7P0TA16	37-315	Uniprot/SPTREMBL	ENST00000679365.1	A0A7P0TA16.5
ENSG00000100749	ENST00000679462	ENSP00000506011	A0A7P0TAA6	37-317	Uniprot/SPTREMBL	ENST00000679462.1	A0A7P0TAA6.5
ENSG00000100749	ENST00000679727	ENSP00000505844	A0A7P0T9T1	37-315	Uniprot/SPTREMBL	ENST00000679727.1	A0A7P0T9T1.5
ENSG00000100749	ENST00000679736	ENSP00000506517	A0A7P0TB08	37-244	Uniprot/SPTREMBL	ENST00000679736.1	A0A7P0TB08.5
ENSG00000100749	ENST00000679758	ENSP00000505539	A0A7P0T977	37-317	Uniprot/SPTREMBL	ENST00000679758.1	A0A7P0T977.5
ENSG00000100749	ENST00000679770	ENSP00000505214	A0A7P0Z445	37-317	Uniprot/SPTREMBL	ENST00000679770.1	A0A7P0Z445.5
ENSG00000100749	ENST00000679816	ENSP00000506525	Q99986	37-317	Uniprot/SWISSPROT	ENST00000679816.1	Q99986.202
ENSG00000100749	ENST00000679903	ENSP00000506022	A0A7P0TA65	37-317	Uniprot/SPTREMBL	ENST00000679903.1	A0A7P0TA65.5
ENSG00000100749	ENST00000679918	ENSP00000505439	H0YJF7	37-317	Uniprot/SPTREMBL	ENST00000679918.1	H0YJF7.53
ENSG00000100749	ENST00000679941	ENSP00000506520	A0A7P0TBB8	37-317	Uniprot/SPTREMBL	ENST00000679941.1	A0A7P0TBB8.5
ENSG00000100749	ENST00000679977	ENSP00000504897	A0A7P0T814	37-249	Uniprot/SPTREMBL	ENST00000679977.1	A0A7P0T814.5
ENSG00000100749	ENST00000680007	ENSP00000505683	H0YJF7	37-317	Uniprot/SPTREMBL	ENST00000680007.1	H0YJF7.53
ENSG00000100749	ENST00000680335	ENSP00000505806	A0A7P0TBB8	37-317	Uniprot/SPTREMBL	ENST00000680335.1	A0A7P0TBB8.5
ENSG00000100749	ENST00000680387	ENSP00000504908	A0A7P0T824	37-317	Uniprot/SPTREMBL	ENST00000680387.1	A0A7P0T824.5
ENSG00000100749	ENST00000680509	ENSP00000505209	A0A7P0T8N0	37-317	Uniprot/SPTREMBL	ENST00000680509.1	A0A7P0T8N0.5
ENSG00000100749	ENST00000680538	ENSP00000505611	A0A7P0Z4A4	37-366	Uniprot/SPTREMBL	ENST00000680538.1	A0A7P0Z4A4.5
ENSG00000100749	ENST00000680683	ENSP00000506334	A0A7P0TAS8	37-317	Uniprot/SPTREMBL	ENST00000680683.1	A0A7P0TAS8.5
ENSG00000100749	ENST00000680724	ENSP00000504891	A0A7P0Z3Z7	37-317	Uniprot/SPTREMBL	ENST00000680724.1	A0A7P0Z3Z7.5
ENSG00000100749	ENST00000680756	ENSP00000506648	Q99986	37-317	Uniprot/SWISSPROT	ENST00000680756.1	Q99986.202
ENSG00000100749	ENST00000680849	ENSP00000505602	A0A7P0T9E5	37-316	Uniprot/SPTREMBL	ENST00000680849.1	A0A7P0T9E5.5
ENSG00000100749	ENST00000680851	ENSP00000505159	A0A7P0Z462	37-317	Uniprot/SPTREMBL	ENST00000680851.1	A0A7P0Z462.5
ENSG00000100749	ENST00000680922	ENSP00000506480	A0A7P0TB08	37-244	Uniprot/SPTREMBL	ENST00000680922.1	A0A7P0TB08.5
ENSG00000100749	ENST00000681101	ENSP00000506564	A0A7P0TBE4	37-317	Uniprot/SPTREMBL	ENST00000681101.1	A0A7P0TBE4.5
ENSG00000100749	ENST00000681176	ENSP00000505454	A0A7P0T925	1-275	Uniprot/SPTREMBL	ENST00000681176.1	A0A7P0T925.5
ENSG00000100749	ENST00000681195	ENSP00000504933	A0A7P0T838	37-317	Uniprot/SPTREMBL	ENST00000681195.1	A0A7P0T838.5
ENSG00000100749	ENST00000681249	ENSP00000506013	A0A7P0T838	37-317	Uniprot/SPTREMBL	ENST00000681249.1	A0A7P0T838.5
ENSG00000100749	ENST00000681344	ENSP00000506151	Q99986	37-317	Uniprot/SWISSPROT	ENST00000681344.1	Q99986.202
ENSG00000100749	ENST00000681355	ENSP00000506214	Q99986	37-317	Uniprot/SWISSPROT	ENST00000681355.1	Q99986.202
ENSG00000100749	ENST00000681363	ENSP00000505564	A0A7P0T9I1	37-317	Uniprot/SPTREMBL	ENST00000681363.1	A0A7P0T9I1.5
ENSG00000100749	ENST00000681419	ENSP00000505512	A0A7P0T952	37-317	Uniprot/SPTREMBL	ENST00000681419.1	A0A7P0T952.5
ENSG00000100749	ENST00000681474	ENSP00000505569	A0A7P0T9C6	37-302	Uniprot/SPTREMBL	ENST00000681474.1	A0A7P0T9C6.5
ENSG00000100749	ENST00000681493	ENSP00000506429	A0A7P0TB15	37-315	Uniprot/SPTREMBL	ENST00000681493.1	A0A7P0TB15.5
ENSG00000100749	ENST00000681524	ENSP00000505783	A0A7P0TB08	37-244	Uniprot/SPTREMBL	ENST00000681524.1	A0A7P0TB08.5
ENSG00000100749	ENST00000681538	ENSP00000506662	A0A7P0TBI6	37-321	Uniprot/SPTREMBL	ENST00000681538.1	A0A7P0TBI6.5
ENSG00000100749	ENST00000681778	ENSP00000506049	A0A7P0TBB8	37-317	Uniprot/SPTREMBL	ENST00000681778.1	A0A7P0TBB8.5
ENSG00000100749	ENST00000681785	ENSP00000505166	A0A7P0T8N0	37-317	Uniprot/SPTREMBL	ENST00000681785.1	A0A7P0T8N0.5
ENSG00000100784	ENST00000418736	ENSP00000402787	O75582-2	49-318|426-687	Uniprot/SWISSPROT	ENST00000418736.6	O75582.212
ENSG00000100784	ENST00000536315	ENSP00000442803	O75582-3	49-318|426-687	Uniprot/SWISSPROT	ENST00000536315.6	O75582.212
ENSG00000100784	ENST00000554206	ENSP00000450591	G3V2D1	49-219	Uniprot/SPTREMBL	ENST00000554206.1	G3V2D1.66
ENSG00000100784	ENST00000556178	ENSP00000451305	H0YJE1	1-79	Uniprot/SPTREMBL	ENST00000556178.5	H0YJE1.58
ENSG00000100784	ENST00000614987	ENSP00000479667	O75582-1	49-318|426-687	Uniprot/SWISSPROT	ENST00000614987.5	O75582.212
ENSG00000100784	ENST00000648062	ENSP00000497354	A0A3B3ISL8	49-207	Uniprot/SPTREMBL	ENST00000648062.1	A0A3B3ISL8.13
ENSG00000101049	ENST00000341458	ENSP00000340608	Q9HBY8-2	35-292	Uniprot/SWISSPROT	ENST00000341458.10	Q9HBY8.182
ENSG00000101049	ENST00000373077	ENSP00000362168	X6R8H3	35-292	Uniprot/SPTREMBL	ENST00000373077.5	X6R8H3.54
ENSG00000101049	ENST00000373100	ENSP00000362192	Q9HBY8-2	35-292	Uniprot/SWISSPROT	ENST00000373100.7	Q9HBY8.182
ENSG00000101049	ENST00000412111	ENSP00000396222	Q5H8Y5	35-165	Uniprot/SPTREMBL	ENST00000412111.6	Q5H8Y5.118
ENSG00000101049	ENST00000423407	ENSP00000392795	Q9HBY8-2	35-292	Uniprot/SWISSPROT	ENST00000423407.7	Q9HBY8.182
ENSG00000101049	ENST00000426287	ENSP00000412214	Q9HBY8-2	35-292	Uniprot/SWISSPROT	ENST00000426287.3	Q9HBY8.182
ENSG00000101049	ENST00000485914	ENSP00000496823	A0A3B3IRL0	35-158	Uniprot/SPTREMBL	ENST00000485914.2	A0A3B3IRL0.15
ENSG00000101049	ENST00000496343	ENSP00000436841	F2Z3C8	35-285	Uniprot/SPTREMBL	ENST00000496343.6	F2Z3C8.63
ENSG00000101049	ENST00000648083	ENSP00000496987	A0A3B3IRX6	35-157	Uniprot/SPTREMBL	ENST00000648083.1	A0A3B3IRX6.15
ENSG00000101049	ENST00000648530	ENSP00000497528	A0A3B3IT40	35-281	Uniprot/SPTREMBL	ENST00000648530.1	A0A3B3IT40.15
ENSG00000101109	ENST00000372801	ENSP00000361887	Q13043-2	30-281	Uniprot/SWISSPROT	ENST00000372801.5	Q13043.220
ENSG00000101109	ENST00000372806	ENSP00000361892	Q13043-1	30-281	Uniprot/SWISSPROT	ENST00000372806.8	Q13043.220
ENSG00000101109	ENST00000474717	ENSP00000479564	A0A087WVN8	1-155	Uniprot/SPTREMBL	ENST00000474717.3	A0A087WVN8.44
ENSG00000101109	ENST00000499879	ENSP00000443514	F5H5B4	1-226	Uniprot/SPTREMBL	ENST00000499879.7	F5H5B4.79
ENSG00000101213	ENST00000542869	ENSP00000442460	Q13882-1	191-445	Uniprot/SWISSPROT	ENST00000542869.3	Q13882.217
ENSG00000101255	ENST00000217233	ENSP00000217233	Q96RU7	68-316	Uniprot/SWISSPROT	ENST00000217233.9	Q96RU7.189
ENSG00000101255	ENST00000422053	ENSP00000415416	J3KR25	95-342	Uniprot/SPTREMBL	ENST00000422053.3	J3KR25.76
ENSG00000101255	ENST00000449710	ENSP00000391873	B0QYQ2	68-271	Uniprot/SPTREMBL	ENST00000449710.5	B0QYQ2.100
ENSG00000101266	ENST00000217244	ENSP00000217244	P68400-1	39-324	Uniprot/SWISSPROT	ENST00000217244.9	P68400.194
ENSG00000101266	ENST00000400217	ENSP00000383076	P68400-1	39-324	Uniprot/SWISSPROT	ENST00000400217.7	P68400.194
ENSG00000101266	ENST00000400227	ENSP00000383086	E7EU96	39-324	Uniprot/SPTREMBL	ENST00000400227.8	E7EU96.60
ENSG00000101266	ENST00000460062	ENSP00000477147	V9GYW6	1-42	Uniprot/SPTREMBL	ENST00000460062.7	V9GYW6.38
ENSG00000101266	ENST00000608066	ENSP00000476486	V9GY80	39-92	Uniprot/SPTREMBL	ENST00000608066.6	V9GY80.49
ENSG00000101266	ENST00000609525	ENSP00000476547	V9GYA2	39-144	Uniprot/SPTREMBL	ENST00000609525.2	V9GYA2.42
ENSG00000101266	ENST00000642160	ENSP00000496115	A0A2R8Y797	39-86	Uniprot/SPTREMBL	ENST00000642160.1	A0A2R8Y797.16
ENSG00000101266	ENST00000642689	ENSP00000495414	A0A2R8YFU2	39-307	Uniprot/SPTREMBL	ENST00000642689.1	A0A2R8YFU2.18
ENSG00000101266	ENST00000643600	ENSP00000494038	A0A2R8Y4H0	39-256	Uniprot/SPTREMBL	ENST00000643600.1	A0A2R8Y4H0.16
ENSG00000101266	ENST00000643660	ENSP00000495248	P68400-1	39-324	Uniprot/SWISSPROT	ENST00000643660.1	P68400.194
ENSG00000101266	ENST00000643680	ENSP00000493704	A0A2R8Y4D6	39-207	Uniprot/SPTREMBL	ENST00000643680.1	A0A2R8Y4D6.16
ENSG00000101266	ENST00000643968	ENSP00000495139	A0A2R8YCK2	39-117	Uniprot/SPTREMBL	ENST00000643968.1	A0A2R8YCK2.16
ENSG00000101266	ENST00000644177	ENSP00000495079	A0A2R8YDY7	1-131	Uniprot/SPTREMBL	ENST00000644177.1	A0A2R8YDY7.17
ENSG00000101266	ENST00000644710	ENSP00000493791	A0A2R8YFU2	39-307	Uniprot/SPTREMBL	ENST00000644710.1	A0A2R8YFU2.18
ENSG00000101266	ENST00000644885	ENSP00000496146	A0A2R8YF43	39-296	Uniprot/SPTREMBL	ENST00000644885.1	A0A2R8YF43.18
ENSG00000101266	ENST00000645091	ENSP00000495942	A0A2R8YEW1	39-133	Uniprot/SPTREMBL	ENST00000645091.1	A0A2R8YEW1.16
ENSG00000101266	ENST00000645234	ENSP00000494288	A0A2R8YD58	39-324	Uniprot/SPTREMBL	ENST00000645234.1	A0A2R8YD58.17
ENSG00000101266	ENST00000645249	ENSP00000496152	A0A2R8YF47	39-94	Uniprot/SPTREMBL	ENST00000645249.1	A0A2R8YF47.12
ENSG00000101266	ENST00000645260	ENSP00000493931	A0A2R8YDP2	39-287	Uniprot/SPTREMBL	ENST00000645260.1	A0A2R8YDP2.17
ENSG00000101266	ENST00000645623	ENSP00000495998	P68400-1	39-324	Uniprot/SWISSPROT	ENST00000645623.1	P68400.194
ENSG00000101266	ENST00000645840	ENSP00000494445	A0A2R8YEL7	39-88	Uniprot/SPTREMBL	ENST00000645840.1	A0A2R8YEL7.12
ENSG00000101266	ENST00000645910	ENSP00000493697	A0A2R8YCK2	39-117	Uniprot/SPTREMBL	ENST00000645910.1	A0A2R8YCK2.16
ENSG00000101266	ENST00000646305	ENSP00000495902	P68400-1	39-324	Uniprot/SWISSPROT	ENST00000646305.1	P68400.194
ENSG00000101266	ENST00000646561	ENSP00000496569	P68400-1	39-324	Uniprot/SWISSPROT	ENST00000646561.1	P68400.194
ENSG00000101266	ENST00000646814	ENSP00000495422	P68400-1	39-324	Uniprot/SWISSPROT	ENST00000646814.1	P68400.194
ENSG00000101266	ENST00000646908	ENSP00000493643	A0A2R8Y3W6	39-74	Uniprot/SPTREMBL	ENST00000646908.1	A0A2R8Y3W6.16
ENSG00000101266	ENST00000647026	ENSP00000494370	A0A2R8Y5A0	39-287	Uniprot/SPTREMBL	ENST00000647026.1	A0A2R8Y5A0.17
ENSG00000101266	ENST00000647348	ENSP00000495912	P68400-1	39-324	Uniprot/SWISSPROT	ENST00000647348.1	P68400.194
ENSG00000101306	ENST00000375985	ENSP00000365152	Q9H1R3	285-540	Uniprot/SWISSPROT	ENST00000375985.5	Q9H1R3.198
ENSG00000101306	ENST00000375994	ENSP00000365162	Q9H1R3	285-540	Uniprot/SWISSPROT	ENST00000375994.6	Q9H1R3.198
ENSG00000101336	ENST00000375852	ENSP00000365012	P08631-1	262-515	Uniprot/SWISSPROT	ENST00000375852.5	P08631.262
ENSG00000101336	ENST00000375862	ENSP00000365022	P08631-4	262-515	Uniprot/SWISSPROT	ENST00000375862.7	P08631.262
ENSG00000101336	ENST00000518730	ENSP00000427757	P08631-3	262-515	Uniprot/SWISSPROT	ENST00000518730.5	P08631.262
ENSG00000101336	ENST00000520553	ENSP00000429848	P08631-2	262-515	Uniprot/SWISSPROT	ENST00000520553.5	P08631.262
ENSG00000101336	ENST00000629881	ENSP00000486627	P08631-2	262-515	Uniprot/SWISSPROT	ENST00000629881.2	P08631.262
ENSG00000101349	ENST00000353224	ENSP00000322957	Q9P286	449-700	Uniprot/SWISSPROT	ENST00000353224.10	Q9P286.210
ENSG00000101349	ENST00000378423	ENSP00000367679	Q9P286	449-700	Uniprot/SWISSPROT	ENST00000378423.5	Q9P286.210
ENSG00000101349	ENST00000378429	ENSP00000367686	Q9P286	449-700	Uniprot/SWISSPROT	ENST00000378429.3	Q9P286.210
ENSG00000101782	ENST00000339486	ENSP00000341874	O14730-1	251-519	Uniprot/SWISSPROT	ENST00000339486.8	O14730.180
ENSG00000101890	ENST00000218006	ENSP00000218006	P51841	532-812	Uniprot/SWISSPROT	ENST00000218006.3	P51841.203
ENSG00000102010	ENST00000342014	ENSP00000340082	P51813	417-675	Uniprot/SWISSPROT	ENST00000342014.6	P51813.210
ENSG00000102010	ENST00000348343	ENSP00000308774	P51813	417-675	Uniprot/SWISSPROT	ENST00000348343.11	P51813.210
ENSG00000102010	ENST00000357607	ENSP00000350224	P51813	417-675	Uniprot/SWISSPROT	ENST00000357607.6	P51813.210
ENSG00000102096	ENST00000376509	ENSP00000365692	Q9P1W9	32-286	Uniprot/SWISSPROT	ENST00000376509.4	Q9P1W9.176
ENSG00000102096	ENST00000442430	ENSP00000410960	C9J8V9	1-145	Uniprot/SPTREMBL	ENST00000442430.1	C9J8V9.75
ENSG00000102225	ENST00000276052	ENSP00000276052	Q00536-2	165-446	Uniprot/SWISSPROT	ENST00000276052.10	Q00536.208
ENSG00000102225	ENST00000357227	ENSP00000349762	Q00536-1	165-446	Uniprot/SWISSPROT	ENST00000357227.9	Q00536.208
ENSG00000102225	ENST00000457458	ENSP00000405798	Q00536-3	165-446	Uniprot/SWISSPROT	ENST00000457458.6	Q00536.208
ENSG00000102225	ENST00000517426	ENSP00000429985	E5RGN0	165-393	Uniprot/SPTREMBL	ENST00000517426.5	E5RGN0.77
ENSG00000102225	ENST00000518022	ENSP00000429751	Q00536-1	165-446	Uniprot/SWISSPROT	ENST00000518022.5	Q00536.208
ENSG00000102225	ENST00000523344	ENSP00000428349	H0YAZ9	1-210	Uniprot/SPTREMBL	ENST00000523344.5	H0YAZ9.61
ENSG00000102572	ENST00000376547	ENSP00000365730	Q9Y6E0-1	36-286	Uniprot/SWISSPROT	ENST00000376547.7	Q9Y6E0.203
ENSG00000102572	ENST00000376554	ENSP00000365737	Q5JV98	1-75	Uniprot/SPTREMBL	ENST00000376554.8	Q5JV98.106
ENSG00000102572	ENST00000397517	ENSP00000380651	B4DR80	24-255	Uniprot/SPTREMBL	ENST00000397517.6	B4DR80.120
ENSG00000102572	ENST00000444574	ENSP00000402764	H0Y630	1-192	Uniprot/SPTREMBL	ENST00000444574.1	H0Y630.64
ENSG00000102572	ENST00000539966	ENSP00000442539	Q9Y6E0-2	36-286	Uniprot/SWISSPROT	ENST00000539966.6	Q9Y6E0.203
ENSG00000102755	ENST00000282397	ENSP00000282397	P17948-1	827-1158	Uniprot/SWISSPROT	ENST00000282397.9	P17948.243
ENSG00000102882	ENST00000263025	ENSP00000263025	P27361-1	42-330	Uniprot/SWISSPROT	ENST00000263025.9	P27361.239
ENSG00000102882	ENST00000395199	ENSP00000378625	P27361-3	42-330	Uniprot/SWISSPROT	ENST00000395199.7	P27361.239
ENSG00000102882	ENST00000395200	ENSP00000378626	E9PBK7	13-262	Uniprot/SPTREMBL	ENST00000395200.5	E9PBK7.79
ENSG00000102882	ENST00000466521	ENSP00000433746	E9PJF0	42-316	Uniprot/SPTREMBL	ENST00000466521.5	E9PJF0.85
ENSG00000102882	ENST00000478356	ENSP00000432292	E9PRH7	1-93	Uniprot/SPTREMBL	ENST00000478356.5	E9PRH7.70
ENSG00000102882	ENST00000481230	ENSP00000433639	H0YDH9	1-87	Uniprot/SPTREMBL	ENST00000481230.1	H0YDH9.69
ENSG00000102882	ENST00000484663	ENSP00000432742	B3KR49	1-216	Uniprot/SPTREMBL	ENST00000484663.5	B3KR49.115
ENSG00000102882	ENST00000490298	ENSP00000432479	E9PQW4	42-331	Uniprot/SPTREMBL	ENST00000490298.5	E9PQW4.85
ENSG00000103653	ENST00000220003	ENSP00000220003	P41240	195-449	Uniprot/SWISSPROT	ENST00000220003.14	P41240.232
ENSG00000103653	ENST00000439220	ENSP00000414764	P41240	195-449	Uniprot/SWISSPROT	ENST00000439220.6	P41240.232
ENSG00000103653	ENST00000567571	ENSP00000454906	P41240	195-449	Uniprot/SWISSPROT	ENST00000567571.5	P41240.232
ENSG00000104205	ENST00000345714	ENSP00000331816	Q96BR1-1	162-419	Uniprot/SWISSPROT	ENST00000345714.8	Q96BR1.192
ENSG00000104205	ENST00000396596	ENSP00000379842	Q96BR1-1	162-419	Uniprot/SWISSPROT	ENST00000396596.2	Q96BR1.192
ENSG00000104205	ENST00000519396	ENSP00000428529	E5RHR8	44-126	Uniprot/SPTREMBL	ENST00000519396.5	E5RHR8.70
ENSG00000104205	ENST00000521152	ENSP00000429565	E5RHY6	59-166	Uniprot/SPTREMBL	ENST00000521152.5	E5RHY6.67
ENSG00000104205	ENST00000521198	ENSP00000430463	Q96BR1-1	162-419	Uniprot/SWISSPROT	ENST00000521198.7	Q96BR1.192
ENSG00000104205	ENST00000522398	ENSP00000430256	Q96BR1-1	162-419	Uniprot/SWISSPROT	ENST00000522398.5	Q96BR1.192
ENSG00000104312	ENST00000220751	ENSP00000220751	O43353-1	18-294	Uniprot/SWISSPROT	ENST00000220751.5	O43353.224
ENSG00000104365	ENST00000342222	ENSP00000339151	J3KNS5	15-164	Uniprot/SPTREMBL	ENST00000342222.6	J3KNS5.57
ENSG00000104365	ENST00000416505	ENSP00000404920	A0A7P0NCV2	1-127	Uniprot/SPTREMBL	ENST00000416505.7	A0A7P0NCV2.5
ENSG00000104365	ENST00000520655	ENSP00000428922	G3V105	15-300	Uniprot/SPTREMBL	ENST00000520655.5	G3V105.94
ENSG00000104365	ENST00000520810	ENSP00000430684	O14920-1	15-300	Uniprot/SWISSPROT	ENST00000520810.6	O14920.233
ENSG00000104365	ENST00000520835	ENSP00000430868	A0A499FJS7	1-236	Uniprot/SPTREMBL	ENST00000520835.7	A0A499FJS7.17
ENSG00000104365	ENST00000521661	ENSP00000428186	G3V105	15-300	Uniprot/SPTREMBL	ENST00000521661.5	G3V105.94
ENSG00000104365	ENST00000523517	ENSP00000430114	E5RGW5	15-300	Uniprot/SPTREMBL	ENST00000523517.5	E5RGW5.74
ENSG00000104365	ENST00000649612	ENSP00000497383	A0A7P0SVL5	1-222	Uniprot/SPTREMBL	ENST00000649612.3	A0A7P0SVL5.5
ENSG00000104365	ENST00000676525	ENSP00000503997	A0A7I2V4L0	1-106	Uniprot/SPTREMBL	ENST00000676525.1	A0A7I2V4L0.5
ENSG00000104375	ENST00000419617	ENSP00000390500	Q13188-1	27-278	Uniprot/SWISSPROT	ENST00000419617.7	Q13188.217
ENSG00000104375	ENST00000424861	ENSP00000428167	Q8NBU1	27-168	Uniprot/SPTREMBL	ENST00000424861.6	Q8NBU1.145
ENSG00000104375	ENST00000518165	ENSP00000428014	E5RFQ9	27-228	Uniprot/SPTREMBL	ENST00000518165.5	E5RFQ9.85
ENSG00000104375	ENST00000521649	ENSP00000429369	E5RIM6	27-82	Uniprot/SPTREMBL	ENST00000521649.5	E5RIM6.69
ENSG00000104375	ENST00000523601	ENSP00000429744	Q13188-2	27-278	Uniprot/SWISSPROT	ENST00000523601.5	Q13188.217
ENSG00000104375	ENST00000617590	ENSP00000482260	A0A087WZ06	27-380	Uniprot/SPTREMBL	ENST00000617590.1	A0A087WZ06.63
ENSG00000104814	ENST00000396857	ENSP00000380066	Q92918-2	17-274	Uniprot/SWISSPROT	ENST00000396857.7	Q92918.200
ENSG00000104814	ENST00000585583	ENSP00000468396	K7ERT2	1-69	Uniprot/SPTREMBL	ENST00000585583.5	K7ERT2.47
ENSG00000104814	ENST00000586296	ENSP00000465774	K7EKT6	17-274	Uniprot/SPTREMBL	ENST00000586296.5	K7EKT6.58
ENSG00000104814	ENST00000589130	ENSP00000468164	K7ER95	13-270	Uniprot/SPTREMBL	ENST00000589130.5	K7ER95.73
ENSG00000104814	ENST00000591517	ENSP00000465039	Q92918-1	17-274	Uniprot/SWISSPROT	ENST00000591517.5	Q92918.200
ENSG00000104936	ENST00000291270	ENSP00000291270	Q09013-9	71-339	Uniprot/SWISSPROT	ENST00000291270.9	Q09013.216
ENSG00000104936	ENST00000343373	ENSP00000345997	Q09013-16	71-339	Uniprot/SWISSPROT	ENST00000343373.10	Q09013.216
ENSG00000104936	ENST00000354227	ENSP00000346168	Q09013-12	71-339	Uniprot/SWISSPROT	ENST00000354227.9	Q09013.216
ENSG00000104936	ENST00000447742	ENSP00000413417	Q09013-11	71-339	Uniprot/SWISSPROT	ENST00000447742.6	Q09013.216
ENSG00000104936	ENST00000458663	ENSP00000401753	Q09013-15	71-339	Uniprot/SWISSPROT	ENST00000458663.6	Q09013.216
ENSG00000104936	ENST00000683086	ENSP00000508381	Q09013-10	71-339	Uniprot/SWISSPROT	ENST00000683086.1	Q09013.216
ENSG00000105053	ENST00000316763	ENSP00000324636	Q8IV63-1	166-457	Uniprot/SWISSPROT	ENST00000316763.8	Q8IV63.177
ENSG00000105053	ENST00000377011	ENSP00000366210	Q8IV63-3	166-457	Uniprot/SWISSPROT	ENST00000377011.6	Q8IV63.177
ENSG00000105053	ENST00000593912	ENSP00000473222	M0R3H2	1-117	Uniprot/SPTREMBL	ENST00000593912.5	M0R3H2.52
ENSG00000105053	ENST00000593919	ENSP00000469710	M0QYA8	166-406	Uniprot/SPTREMBL	ENST00000593919.5	M0QYA8.65
ENSG00000105053	ENST00000594948	ENSP00000473171	Q8IV63-1	166-457	Uniprot/SWISSPROT	ENST00000594948.5	Q8IV63.177
ENSG00000105053	ENST00000599538	ENSP00000469880	Q8IV63-1	166-457	Uniprot/SWISSPROT	ENST00000599538.5	Q8IV63.177
ENSG00000105053	ENST00000601341	ENSP00000470156	Q8IV63-3	166-457	Uniprot/SWISSPROT	ENST00000601341.5	Q8IV63.177
ENSG00000105053	ENST00000601912	ENSP00000471061	M0R073	116-362	Uniprot/SPTREMBL	ENST00000601912.5	M0R073.59
ENSG00000105146	ENST00000302804	ENSP00000302898	Q9UQB9-1	43-293	Uniprot/SWISSPROT	ENST00000302804.12	Q9UQB9.197
ENSG00000105146	ENST00000415300	ENSP00000407162	Q9UQB9-3	43-293	Uniprot/SWISSPROT	ENST00000415300.6	Q9UQB9.197
ENSG00000105146	ENST00000594599	ENSP00000469894	M0QYK8	1-121	Uniprot/SPTREMBL	ENST00000594599.1	M0QYK8.49
ENSG00000105146	ENST00000596375	ENSP00000470465	B4DXA6	9-113	Uniprot/SPTREMBL	ENST00000596375.1	B4DXA6.94
ENSG00000105146	ENST00000598785	ENSP00000471830	Q9UQB9-2	43-293	Uniprot/SWISSPROT	ENST00000598785.5	Q9UQB9.197
ENSG00000105146	ENST00000599062	ENSP00000469983	Q5Y191	40-290	Uniprot/SPTREMBL	ENST00000599062.5	Q5Y191.130
ENSG00000105204	ENST00000323039	ENSP00000312789	Q9Y463-1	111-431	Uniprot/SWISSPROT	ENST00000323039.10	Q9Y463.205
ENSG00000105204	ENST00000348817	ENSP00000221803	Q9Y463	111-431	Uniprot/SPTREMBL	ENST00000348817.7	Q9Y463.205
ENSG00000105204	ENST00000430012	ENSP00000403182	Q9Y463	111-431	Uniprot/SPTREMBL	ENST00000430012.6	Q9Y463.205
ENSG00000105204	ENST00000593685	ENSP00000469863	Q9Y463-1	111-431	Uniprot/SWISSPROT	ENST00000593685.5	Q9Y463.205
